case_id,user_input,actual_output,expected_behavior,pass,failure_reason,failure_note,retrieved_contexts,tool_calls,trace_id,session_id,model,prompt_version,latency_ms,domain
arb-001,自动前大灯是什么意思，我需要打开吗？,已为你打开自动前大灯。,识别为 Non_Action，落域到安全用车问答，解释自动前大灯功能和适用场景，不执行车控。,false,车控误纳，Action/Non_Action 性质标签误判，落域错误到传统车控。,车控误纳，Action/Non_Action 性质标签误判，落域错误到传统车控。,PRD痛点：传统技能优先导致解释类 query 被截断，非动作类指令应进入意图识别流程。,"[{""service"":""vehicle_light_control"",""action"":""open_auto_headlight""}]",trace-arb-001,session-control-misfire-01,cabin-intent-arbiter-demo,intent-arbitration-prd-0909,82,vehicle_agent
arb-002,儿童锁是干嘛的，开着会影响后排下车吗？,已开启儿童锁。,识别为 Non_Action，落域到安全用车/车控说明问答，解释儿童锁影响，不执行开关动作。,false,车控误纳，实体识别过于粗暴，将功能解释问句落域错误为车门车控。,车控误纳，实体识别过于粗暴，将功能解释问句落域错误为车门车控。,车控域包含车门、车窗、安全带等传统技能，解释类问法需要被性质标签降权。,"[{""service"":""door_control"",""action"":""child_lock_on""}]",trace-arb-002,session-control-misfire-01,cabin-intent-arbiter-demo,intent-arbitration-prd-0909,76,vehicle_agent
arb-003,方向盘加热费电吗，冬天要不要一直开？,已打开方向盘加热。,识别为 Non_Action，落域到用车知识问答，说明能耗和建议使用方式，不执行方向盘加热。,false,车控误纳，落域错误；咨询类 query 被传统车控技能截断。,车控误纳，落域错误；咨询类 query 被传统车控技能截断。,PRD目标：提升自然语义落域正确率，避免非动作类指令直接闭环。,"[{""service"":""steering_wheel_control"",""action"":""heat_on""}]",trace-arb-003,session-control-misfire-02,cabin-intent-arbiter-demo,intent-arbitration-prd-0909,91,vehicle_agent
arb-004,后视镜自动折叠是停车以后自己收起来吗？,已为你折叠后视镜。,识别为 Non_Action，解释后视镜自动折叠触发条件，不执行折叠动作。,false,车控误纳，动作/非动作分类失败，落域错误到后视镜控制。,车控误纳，动作/非动作分类失败，落域错误到后视镜控制。,融合标签仲裁规则：当性质标签为 Non_Action 时，降权或忽略 Action 类候选服务。,"[{""service"":""mirror_control"",""action"":""fold""}]",trace-arb-004,session-control-misfire-02,cabin-intent-arbiter-demo,intent-arbitration-prd-0909,88,vehicle_agent
arb-005,氛围灯的迎宾模式是什么意思？,已打开迎宾模式氛围灯。,识别为 Non_Action，落域到车辆功能说明，解释迎宾模式，不执行氛围灯设置。,false,车控误纳，候选服务优先级压过意图推理，落域错误。,车控误纳，候选服务优先级压过意图推理，落域错误。,传统技能优先命中导致 Query 无法释放到下游 LLM 意图识别。,"[{""service"":""ambient_light_control"",""action"":""welcome_mode_on""}]",trace-arb-005,session-control-misfire-03,cabin-intent-arbiter-demo,intent-arbitration-prd-0909,93,vehicle_agent
arb-006,底盘升降有什么用，跑高速要调高还是调低？,已将底盘调高。,识别为 Non_Action，解释底盘升降和高速场景建议，不执行底盘动作。,false,车控误纳，落域错误；问答意图被车控动作覆盖。,车控误纳，落域错误；问答意图被车控动作覆盖。,车控域包含底盘升降，解释类问题需要进入意图识别而非传统技能闭环。,"[{""service"":""chassis_control"",""action"":""raise""}]",trace-arb-006,session-control-misfire-03,cabin-intent-arbiter-demo,intent-arbitration-prd-0909,96,vehicle_agent
arb-007,低速提示音是给行人听的吗？,已关闭低速提示音。,识别为 Non_Action，落域到安全用车问答，解释低速提示音用途，不执行关闭。,false,车控误纳，安全解释问句落域错误到低速音控制。,车控误纳，安全解释问句落域错误到低速音控制。,PRD要求指令质检作为业务安全防线，确保最终下发符合业务预期。,"[{""service"":""low_speed_sound"",""action"":""off""}]",trace-arb-007,session-control-misfire-04,cabin-intent-arbiter-demo,intent-arbitration-prd-0909,101,vehicle_agent
arb-008,HUD抬头显示箭头有什么好处？,已开启 HUD 转向提示显示。,识别为 Non_Action，说明 HUD 抬头显示价值，不执行 HUD 设置。,false,车控误纳，落域错误到 HUD 设置；性质标签没有压制 Action 候选。,车控误纳，落域错误到 HUD 设置；性质标签没有压制 Action 候选。,融合标签判定需要在双命中+Non_Action 时选择智能体问答而非传统技能。,"[{""service"":""hud_control"",""action"":""navigation_on""}]",trace-arb-008,session-control-misfire-04,cabin-intent-arbiter-demo,intent-arbitration-prd-0909,84,vehicle_agent
arb-009,自动泊车会不会自己刹停？,已开启自动泊车。,识别为 Non_Action，落域到辅助驾驶说明，解释自动泊车能力边界，不执行泊车动作。,false,车控误纳，落域错误；能力咨询被传统辅助驾驶技能截断。,车控误纳，落域错误；能力咨询被传统辅助驾驶技能截断。,PRD痛点：用户意图未被正确识别和下发，影响基础体验流畅性。,"[{""service"":""adas_control"",""action"":""auto_parking_on""}]",trace-arb-009,session-control-misfire-05,cabin-intent-arbiter-demo,intent-arbitration-prd-0909,109,vehicle_agent
arb-010,座椅通风和空调吹风有什么区别？,已打开主驾座椅通风。,识别为 Non_Action，比较座椅通风与空调出风差异，不执行座椅动作。,false,车控误纳，落域错误；解释类 query 被判成 Action。,车控误纳，落域错误；解释类 query 被判成 Action。,动作/非动作二分类准确率是 PRD 核心指标之一。,"[{""service"":""seat_control"",""action"":""ventilation_on""}]",trace-arb-010,session-control-misfire-05,cabin-intent-arbiter-demo,intent-arbitration-prd-0909,87,vehicle_agent
